Altium Designer Pick and Place Locations
G:\Git\RUMBA-Plus\Source\Project Outputs for RUMBA_plus\Pick Place for RUMBA_plus.csv

========================================================================================================================
File Design Information:

Date:       24/05/18
Time:       14:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U4","AOZ1284","TopLayer","SOIC127P600X170_HS-9N","95.850","26.400","90",""
"U5","USBLC6-4SC6","TopLayer","SOT23-6","14.200","14.100","0","ESD Protection IC"
"USB_AUX","Header 5","TopLayer","HDR1X5-HEADER","20.800","12.060","90","Header, 5-Pin"
"R58","Res-0603-1K","TopLayer","RES_1608-0603","43.800","46.400","90","Resistor"
"R20","Res-0603-1K","TopLayer","RES_1608-0603","118.700","30.600","90","Resistor"
"LD9","GREEN","TopLayer","LED_1608-0603","42.300","46.400","270","Hyper-Bright LED"
"LD8","GREEN","TopLayer","LED_1608-0603","117.188","30.663","270","Hyper-Bright LED"
"ISP1","Header 3X2","TopLayer","HDR2X3","44.841","52.706","270","Header, 3-Pin, Dual row"
"R19","Res-0603-348K","TopLayer","RES_1608-0603","92.000","35.550","180","Resistor"
"R10","Res-0603-100K","TopLayer","RES_1608-0603","98.600","21.600","180","Resistor"
"F3","PTC Resettable Fuse","TopLayer","PTC_Fuse1608-0603","18.200","6.800","270","Fuse - 15V 200mA Trip PTC SMD 0603"
"C34","CapC-0603-100nF","TopLayer","Cap_1608-0603","92.000","32.550","360","Capacitor (Semiconductor SIM Model)"
"C17","CapC-1210-4.7uF-50V","TopLayer","CAP_3225-1210","100.700","25.600","90","Capacitor (Semiconductor SIM Model)"
"C10","CapC-0603-2.7nF","TopLayer","Cap_1608-0603","92.000","34.050","360","Capacitor (Semiconductor SIM Model)"
"F2","Fuseholder - Mini ATC ATO 15A","TopLayer","FUSEHOLDER_-_BK-6013_-_MINI_ATC_ATO_BLADE_15A","109.300","16.004","180",""
"D14","100V; 1.5A","TopLayer","DO-214AC","66.500","13.000","360","Diode SMD 100V 1.5A SMA"
"D13","100V; 1.5A","TopLayer","DO-214AC","130.250","20.254","360","Diode SMD 100V 1.5A SMA"
"D12","100V; 1.5A","TopLayer","DO-214AC","50.500","13.000","360","Diode SMD 100V 1.5A SMA"
"D11","100V; 1.5A","TopLayer","DO-214AC","84.000","11.500","360","Diode SMD 100V 1.5A SMA"
"D10","100V; 1.5A","TopLayer","DO-214AC","75.250","11.500","360","Diode SMD 100V 1.5A SMA"
"D9","100V; 1.5A","TopLayer","DO-214AC","58.750","13.000","360","Diode SMD 100V 1.5A SMA"
"FAN1","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","83.848","6.205","180","Screw Terminal 3.5mm 2-Way"
"R55","Res-0603-1K","TopLayer","RES_1608-0603","84.201","27.643","90","Resistor"
"Q5","BUK9Y21-40E","TopLayer","LFPACK","83.922","19.933","180",""
"LD7","GREEN","TopLayer","LED_1608-0603","85.779","27.643","270","Hyper-Bright LED"
"Z_MOT_A","Header 4","TopLayer","HDR1X4","86.764","65.895","180","Header, 4-Pin"
"Y_MOT_A","Header 4","TopLayer","HDR1X4","71.540","65.870","180","Header, 4-Pin"
"X_MOT_A","Header 4","TopLayer","HDR1X4","56.316","65.870","180","Header, 4-Pin"
"R54","Res-0603-4K7","TopLayer","RES_1608-0603","12.526","23.782","360","Resistor"
"R53","Res-0603-1K","TopLayer","RES_1608-0603","76.352","27.643","90","Resistor"
"R52","Res-0603-100K","TopLayer","RES_1608-0603","74.701","27.643","270","Resistor"
"R51","Res-0603-22R","TopLayer","RES_1608-0603","73.050","27.643","270","Resistor"
"R50","Res-0603-1K","TopLayer","RES_1608-0603","67.386","27.643","90","Resistor"
"LD6","GREEN","TopLayer","LED_1608-0603","77.978","27.643","270","Hyper-Bright LED"
"LD5","GREEN","TopLayer","LED_1608-0603","68.990","27.643","270","Hyper-Bright LED"
"FAN0","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","75.339","6.154","180","Screw Terminal 3.5mm 2-Way"
"HE2","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","67.008","6.154","180","Screw Terminal 3.5mm 2-Way"
"E2_MOT_A","Header 4","TopLayer","HDR1X4","132.438","65.819","180","Header, 4-Pin"
"E1_MOT_A","Header 4","TopLayer","HDR1X4","117.213","65.844","180","Header, 4-Pin"
"E0_MOT_A","Header 4","TopLayer","HDR1X4","101.989","65.870","180","Header, 4-Pin"
"C9","approved sub OK","TopLayer","Cap_1608-0603","12.526","22.258","360","Capacitor SMD Cer 1uF 10% 16V X7R 0603"
"HE1","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","58.626","6.129","180","Screw Terminal 3.5mm 2-Way"
"R9","Res-0603-1M","TopLayer","RES_1608-0603","29.997","6.027","360","Resistor"
