Altium Designer Pick and Place Locations
G:\Git\RUMBA32\Source\Project Outputs for RUMBA32\Pick Place for RUMBA32.csv

========================================================================================================================
File Design Information:

Date:       29/05/19
Time:       21:07
Revision:   94be7f261eb24ac4ffcab3cee12fbea82752369c
Variant:    No variations
Units used: mm

"Designator","Description","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"Q6","MOSFET N-CH 40V 100A LFPAK","TopLayer","LFPACK","127.9220","29.1414","180"
"C37","CAP CER 4.7UF 50V X7R 1210","TopLayer","CAP_3225-1210","102.5992","32.1723","270"
"LD8","LED GREEN CLEAR CHIP SMD 0603","TopLayer","LED_1608-0603","112.8484","32.0978","90"
"C18","CAP CER 0.1UF 50V X7R 0603","TopLayer","CAP_1608-0603","109.6840","32.0973","90"
"D2","DIODE SCHOTTKY 40V 4A DO214AA","TopLayer","DO-214AA","118.5992","31.8079","90"
"D3","DIODE SCHOTTKY 40V 2A SOD123F","TopLayer","DIOM2616X08N","115.0992","33.6118","270"
"U3","IC REG BUCK ADJ 1.2A SOT23-6","TopLayer","SOT23-6N","106.6360","32.0848","270"
"R6","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","111.2484","32.0978","90"
"R31","RES SMD 22 OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","121.4500","37.0000","270"
"S3","SWITCH TACTILE SPST-NO 0.05A 12V","TopLayer","SW-PB_SMD_2pin","26.8500","19.5000","180"
"L1","FIXED IND 33UH 1.8A 145 MOHM SMD","TopLayer","SRN6045TA_SMD_Inductor","105.6860","23.0649","90"
"C36","CAP CER 4.7UF 50V X7R 1210","TopLayer","CAP_3225-1210","94.5645","13.7891","270"
"R44","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","123.7916","57.4999","270"
"R45","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","123.7916","60.9999","90"
"C30","CAP ALUM 100UF 20% 35V SMD","TopLayer","CAP_EL_PANASONIC","128.5652","58.8098","360"
"E2_MS1","Header, 3-Pin","TopLayer","HDR1X3-HEADER","130.9508","46.9361","270"
"E2_MS2","Header, 3-Pin","TopLayer","HDR1X3-HEADER","128.4108","46.9361","270"
"E2_MS3","Header, 3-Pin","TopLayer","HDR1X3-HEADER","125.8708","46.9361","270"
"E2_SLP","Header, 3-Pin","TopLayer","HDR1X3-HEADER","123.3308","46.9361","270"
"R30","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","108.5333","57.4999","270"
"R29","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","108.5333","60.9999","90"
"C25","CAP ALUM 100UF 20% 35V SMD","TopLayer","CAP_EL_PANASONIC","113.3069","58.8098","360"
"E1_MS1","Header, 3-Pin","TopLayer","HDR1X3-HEADER","115.6925","46.9361","270"
"E1_MS2","Header, 3-Pin","TopLayer","HDR1X3-HEADER","113.1525","46.9361","270"
"E1_MS3","Header, 3-Pin","TopLayer","HDR1X3-HEADER","110.6125","46.9361","270"
"E1_SLP","Header, 3-Pin","TopLayer","HDR1X3-HEADER","108.0725","46.9361","270"
"R28","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","93.2750","57.4999","270"
"R27","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","93.2750","60.9999","90"
"C24","CAP ALUM 100UF 20% 35V SMD","TopLayer","CAP_EL_PANASONIC","98.0485","58.8098","360"
"E0_MS1","Header, 3-Pin","TopLayer","HDR1X3-HEADER","100.4341","46.9361","270"
"E0_MS2","Header, 3-Pin","TopLayer","HDR1X3-HEADER","97.8941","46.9361","270"
"E0_MS3","Header, 3-Pin","TopLayer","HDR1X3-HEADER","95.3541","46.9361","270"
"E0_SLP","Header, 3-Pin","TopLayer","HDR1X3-HEADER","92.8141","46.9361","270"
"R26","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","78.0166","57.4999","270"
"R25","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","78.0166","60.9999","90"
"C23","CAP ALUM 100UF 20% 35V SMD","TopLayer","CAP_EL_PANASONIC","82.7902","58.8098","360"
"Z_MS1","Header, 3-Pin","TopLayer","HDR1X3-HEADER","85.1758","46.9362","270"
"Z_MS2","Header, 3-Pin","TopLayer","HDR1X3-HEADER","82.6358","46.9362","270"
"Z_MS3","Header, 3-Pin","TopLayer","HDR1X3-HEADER","80.0958","46.9362","270"
"Z_SLP","Header, 3-Pin","TopLayer","HDR1X3-HEADER","77.5558","46.9362","270"
"R24","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","62.7583","57.4999","270"
"R23","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","62.7583","60.9999","90"
"C22","CAP ALUM 100UF 20% 35V SMD","TopLayer","CAP_EL_PANASONIC","67.5319","58.8098","360"
"Y_MS1","Header, 3-Pin","TopLayer","HDR1X3-HEADER","69.9175","46.9362","270"
"Y_MS2","Header, 3-Pin","TopLayer","HDR1X3-HEADER","67.3775","46.9362","270"
